variant,run,CT,EER,NE,SR,OSR,nDTW,SPL
VoLN-MLLM,1,1.4347532067644357,0.47704770459394324,120.78817464415907,5.347398756872884,12.094938522813017,45.560044981434764,4.196578664063983
VoLN-MLLM,2,1.4249764196798673,0.5795252227344666,116.2947054228925,6.163084880819113,11.285699583334434,45.87014077633425,4.40964430548804
VoLN-MLLM,3,1.4029452478954503,0.5139599343753314,119.6899868483375,5.695242432981983,12.383012594047905,45.95723293121625,4.331370622819181
VoLN-MLLM,4,1.4207455593476306,0.3160895919116819,119.1182167813826,5.49768440299116,11.704326520256792,45.78196498405543,4.181018842468829
VoLN-MLLM,5,1.4165795663126157,0.6133775463845768,119.10891630322833,5.796589526334865,11.532022779547857,45.83061632695929,4.381387565159967
No-Align,1,1.33044878537763,1.2843043031544998,163.3619582826299,2.214915251630756,7.089863470877881,29.50283567004688,1.015894310881028
No-Align,2,1.3632819178254554,0.7227086355235107,164.83615684218455,2.4964868285594393,7.312883457872962,29.765018017908886,0.8556595184793551
No-Align,3,1.379534667409034,0.39340353779298765,164.16711859043437,2.478119195034796,7.274016634146026,30.15144607044175,1.3200610431206559
No-Align,4,1.378109744452995,1.0006402808442698,161.2033070945408,1.9745479167924724,6.838065637935078,29.586341690556303,1.278750749305559
No-Align,5,1.3486248849348872,1.098943242684732,160.43145919021043,2.3359308079825354,6.985170799168051,28.994358551046183,1.5296343782134016
No-LoRA,1,1.4467945954403583,6.040916586765185,174.94785155227729,2.7821073819511892,7.601891942100154,27.24473136222665,1.3724234725333662
No-LoRA,2,1.4314298672897134,5.5203415145807835,178.54565056497094,2.2760610503818377,7.8396976443955335,26.948675366634884,1.54900491095808
No-LoRA,3,1.4391314887456628,5.981349912879139,175.1128863043829,2.908222428350093,7.716453011883849,26.950287859624076,1.4850322723392
No-LoRA,4,1.4452878339410604,5.927189967591704,179.64897154993187,2.9649794743793065,7.885850199182173,27.53677461086174,1.337900380300384
No-LoRA,5,1.4873562145832058,5.5302020181831875,176.24464002843703,3.0686296649375726,7.956107202438291,27.31953080065265,1.2556389638689698
CLIP-Input,1,1.9593935798070166,1.3634327978833827,154.93078451068953,2.958686294578607,8.259458620344304,31.20797332351529,1.3160072826543643
CLIP-Input,2,2.0151156359518843,1.743423910468994,160.83584029967398,2.9141136946418964,8.043690978452865,30.65119824178835,1.5678987278049317
CLIP-Input,3,1.9704507654592243,1.7462620507880657,159.9485451072967,2.798046475896913,8.243620713758034,31.06380056811386,1.6079675754238127
CLIP-Input,4,1.9695368701219893,0.8818742575786271,158.03455959938978,2.3785827231010486,8.106560786237376,30.502843750637815,1.854122507041823
CLIP-Input,5,1.9855031486598855,1.7650069832809303,159.25027048295001,3.4505708117815375,8.346668901207417,31.07418411594468,1.6540039070750687
