source,split,method,difficulty,NE,SR,OSR,nDTW,SPL
arxiv_reported,Validation-Seen,Random,Easy,268.5,0.6,1.8,28.3,0.4
arxiv_reported,Validation-Seen,Random,Normal,308.7,0.0,0.8,20.0,0.0
arxiv_reported,Validation-Seen,Random,Hard,398.9,0.0,0.2,12.1,0.0
arxiv_reported,Validation-Seen,Seq2Seq-VG,Easy,205.8,1.2,5.4,30.1,0.9
arxiv_reported,Validation-Seen,Seq2Seq-VG,Normal,251.6,0.5,2.9,21.0,0.3
arxiv_reported,Validation-Seen,Seq2Seq-VG,Hard,307.4,0.1,1.0,11.8,0.1
arxiv_reported,Validation-Seen,CMA-VG,Easy,170.2,1.9,7.6,34.5,1.3
arxiv_reported,Validation-Seen,CMA-VG,Normal,211.9,0.9,4.3,25.2,0.6
arxiv_reported,Validation-Seen,CMA-VG,Hard,261.3,0.2,1.9,16.1,0.1
arxiv_reported,Validation-Seen,LAG-VG,Easy,118.7,2.8,7.8,29.7,1.9
arxiv_reported,Validation-Seen,LAG-VG,Normal,154.9,1.5,4.6,20.4,1.0
arxiv_reported,Validation-Seen,LAG-VG,Hard,203.6,0.5,1.9,12.7,0.3
arxiv_reported,Validation-Seen,VoLN-MLLM,Easy,92.4,8.7,13.4,54.8,6.5
arxiv_reported,Validation-Seen,VoLN-MLLM,Normal,126.8,5.4,10.6,40.9,3.8
arxiv_reported,Validation-Seen,VoLN-MLLM,Hard,171.5,2.1,4.1,25.7,1.4
arxiv_reported,Test-Unseen,Random,Easy,270.1,0.4,1.4,30.1,0.3
arxiv_reported,Test-Unseen,Random,Normal,310.4,0.0,0.6,22.7,0.0
arxiv_reported,Test-Unseen,Random,Hard,395.2,0.0,0.2,15.1,0.0
arxiv_reported,Test-Unseen,Seq2Seq-VG,Easy,208.6,1.0,4.8,28.9,0.7
arxiv_reported,Test-Unseen,Seq2Seq-VG,Normal,254.8,0.4,2.5,21.4,0.3
arxiv_reported,Test-Unseen,Seq2Seq-VG,Hard,309.9,0.1,0.9,13.0,0.0
arxiv_reported,Test-Unseen,CMA-VG,Easy,174.5,1.6,6.5,33.2,1.1
arxiv_reported,Test-Unseen,CMA-VG,Normal,216.8,0.8,3.9,26.4,0.6
arxiv_reported,Test-Unseen,CMA-VG,Hard,266.1,0.2,1.7,18.5,0.1
arxiv_reported,Test-Unseen,LAG-VG,Easy,122.4,2.3,6.4,28.1,1.5
arxiv_reported,Test-Unseen,LAG-VG,Normal,158.3,1.2,3.8,20.5,0.7
arxiv_reported,Test-Unseen,LAG-VG,Hard,206.7,0.4,1.7,14.0,0.2
arxiv_reported,Test-Unseen,VoLN-MLLM,Easy,97.1,7.4,14.6,53.1,5.7
arxiv_reported,Test-Unseen,VoLN-MLLM,Normal,131.4,4.5,10.1,41.2,3.2
arxiv_reported,Test-Unseen,VoLN-MLLM,Hard,176.8,1.8,4.5,28.0,1.3
