source,split,method,NE_Easy,NE_Normal,NE_Hard,SR_Easy,SR_Normal,SR_Hard,OSR_Easy,OSR_Normal,OSR_Hard,nDTW_Easy,nDTW_Normal,nDTW_Hard,SPL_Easy,SPL_Normal,SPL_Hard
arxiv_reported,Validation-Seen,Random,268.5,308.7,398.9,0.6,0.0,0.0,1.8,0.8,0.2,28.3,20.0,12.1,0.4,0.0,0.0
arxiv_reported,Validation-Seen,Seq2Seq-VG,205.8,251.6,307.4,1.2,0.5,0.1,5.4,2.9,1.0,30.1,21.0,11.8,0.9,0.3,0.1
arxiv_reported,Validation-Seen,CMA-VG,170.2,211.9,261.3,1.9,0.9,0.2,7.6,4.3,1.9,34.5,25.2,16.1,1.3,0.6,0.1
arxiv_reported,Validation-Seen,LAG-VG,118.7,154.9,203.6,2.8,1.5,0.5,7.8,4.6,1.9,29.7,20.4,12.7,1.9,1.0,0.3
arxiv_reported,Validation-Seen,VoLN-MLLM,92.4,126.8,171.5,8.7,5.4,2.1,13.4,10.6,4.1,54.8,40.9,25.7,6.5,3.8,1.4
arxiv_reported,Test-Unseen,Random,270.1,310.4,395.2,0.4,0.0,0.0,1.4,0.6,0.2,30.1,22.7,15.1,0.3,0.0,0.0
arxiv_reported,Test-Unseen,Seq2Seq-VG,208.6,254.8,309.9,1.0,0.4,0.1,4.8,2.5,0.9,28.9,21.4,13.0,0.7,0.3,0.0
arxiv_reported,Test-Unseen,CMA-VG,174.5,216.8,266.1,1.6,0.8,0.2,6.5,3.9,1.7,33.2,26.4,18.5,1.1,0.6,0.1
arxiv_reported,Test-Unseen,LAG-VG,122.4,158.3,206.7,2.3,1.2,0.4,6.4,3.8,1.7,28.1,20.5,14.0,1.5,0.7,0.2
arxiv_reported,Test-Unseen,VoLN-MLLM,97.1,131.4,176.8,7.4,4.5,1.8,14.6,10.1,4.5,53.1,41.2,28.0,5.7,3.2,1.3
