method,split,difficulty,run,NE,SR,OSR,nDTW,SPL
Random,Validation-Seen,Easy,1,269.53354807107775,0.6982922473538652,1.640050572317178,28.426696251726494,0.548086645938621
Random,Validation-Seen,Easy,2,265.6975300835027,0.3938930876979744,2.1082916971523114,28.366292754869864,0.7207993206818192
Random,Validation-Seen,Easy,3,267.0641083334563,0.4242569524122568,2.2508892149587365,28.329674093935132,0.12313588605217674
Random,Validation-Seen,Easy,4,270.7827029928478,0.694013585845149,1.1519234477976066,28.091937286455703,0.40355902211315886
Random,Validation-Seen,Easy,5,269.4221105191154,0.7895441266907546,1.8488450677741681,28.28539961301281,0.2044191252142243
Random,Validation-Seen,Normal,1,307.46746770056296,0,1.1413546351658868,19.667197949859567,0
Random,Validation-Seen,Normal,2,309.03330076796834,0,0.8777884126901876,19.963127090212186,0
Random,Validation-Seen,Normal,3,306.4718758256338,0,0.4695566842662806,20.331892095483585,0
Random,Validation-Seen,Normal,4,309.8951875360771,0,0.43094787183975225,19.74194299989253,0
Random,Validation-Seen,Normal,5,310.6321681697581,0,1.080352396037893,20.295839864552136,0
Random,Validation-Seen,Hard,1,398.46343158183106,0,0.4498337771792631,11.794533052088624,0
Random,Validation-Seen,Hard,2,402.12349486286155,0,0.17666856008520837,12.823041328911778,0
Random,Validation-Seen,Hard,3,397.98743310173376,0,0.03985863296594455,11.762449199736565,0
Random,Validation-Seen,Hard,4,396.4864847139446,0,0.23340407721873185,12.247085490462233,0
Random,Validation-Seen,Hard,5,399.43915573962886,0,0.10023495255085207,11.872890928800798,0
Seq2Seq-VG,Validation-Seen,Easy,1,207.37636734666538,0.9004653007422053,5.407004171754616,30.208117364774512,1.2631944581805232
Seq2Seq-VG,Validation-Seen,Easy,2,206.02330343022274,1.2477592541526734,5.510668100694864,30.071696919919034,0.9020264611874326
Seq2Seq-VG,Validation-Seen,Easy,3,203.72428856056345,1.2419314911513046,5.410301611385278,30.209963266740385,1.446149522911631
Seq2Seq-VG,Validation-Seen,Easy,4,203.2998633555839,1.3310727087821919,5.232720722816428,30.068679512306247,0.5597856024819567
Seq2Seq-VG,Validation-Seen,Easy,5,208.5761773069646,1.2787712451716244,5.439305393348816,29.94154293625983,0.32884395523845633
Seq2Seq-VG,Validation-Seen,Normal,1,253.25756658316539,0.11911448211987286,3.11573733298538,20.85195463191212,0.4485205897283477
Seq2Seq-VG,Validation-Seen,Normal,2,251.19352120633044,0.2942359435221825,3.0157015611207885,20.470149340075054,0.5403929800986054
Seq2Seq-VG,Validation-Seen,Normal,3,252.27215560485732,1.1331074385343074,3.3389142444496267,21.376395930150803,0.29839360049313346
Seq2Seq-VG,Validation-Seen,Normal,4,252.2674617275852,0.7557862799832697,2.8650185082747703,20.68664957023383,0.023605454504233403
Seq2Seq-VG,Validation-Seen,Normal,5,249.00929487806164,0.19775585584036753,2.164628353169436,21.61485052762821,0.18908737517568036
Seq2Seq-VG,Validation-Seen,Hard,1,307.2072758963039,0.35400655010810234,0.7550807443871248,12.026436136537878,0.39264484841622393
Seq2Seq-VG,Validation-Seen,Hard,2,306.4353216797406,0.04130909138322616,0.8666100749430544,11.669295114858954,0.04396797666760705
Seq2Seq-VG,Validation-Seen,Hard,3,305.34531563069714,0.010346741831466916,0.8110745706894018,11.666701795894973,0.025873697151621744
Seq2Seq-VG,Validation-Seen,Hard,4,308.56721971315176,0.030714179173299327,1.0210321683729546,11.75975504194182,0.01550229170543102
Seq2Seq-VG,Validation-Seen,Hard,5,309.4448670801066,0.06362343750390533,1.5462024416074645,11.877811910766376,0.02201118605911624
CMA-VG,Validation-Seen,Easy,1,170.6204692198278,2.1223310452244806,7.7580960019461065,35.044079891668375,0.6745149462993469
CMA-VG,Validation-Seen,Easy,2,171.0147207575451,1.91815996757459,7.149789089318718,34.274394595476494,1.4257824563252453
CMA-VG,Validation-Seen,Easy,3,170.45426472063062,1.6720605670054827,8.190171723996304,34.14176662319196,1.661564394059823
CMA-VG,Validation-Seen,Easy,4,172.22686049097152,1.892861016317566,7.596144160999893,34.30595394916388,1.513538720622434
CMA-VG,Validation-Seen,Easy,5,166.6836848110248,1.89458740387788,7.3057990237389765,34.7338049404993,1.224599482693151
CMA-VG,Validation-Seen,Normal,1,213.81701325265513,0.9636505303472891,4.24830332826423,25.150803604206978,0.6021473295167754
CMA-VG,Validation-Seen,Normal,2,211.660233947253,0.7615332365527323,5.119229225204355,25.004426785222247,0.3734414282122097
CMA-VG,Validation-Seen,Normal,3,211.48121999559535,1.1116772920704299,4.055006627847766,25.26815845886742,0.7748216047976033
CMA-VG,Validation-Seen,Normal,4,214.1718048031252,0.7776783506624263,4.195940001391693,25.277567772138838,0.8469697159007982
CMA-VG,Validation-Seen,Normal,5,208.36972800137136,0.8854605903671225,3.8815208172919546,25.299043379564516,0.4026199215726133
CMA-VG,Validation-Seen,Hard,1,262.4384400312835,0.06258605190885647,1.7347507783301923,15.87483075443054,0.0007516661103699612
CMA-VG,Validation-Seen,Hard,2,261.9180390614555,0.4727071951340578,2.296766974585487,16.115211100699735,0.014565323451396231
CMA-VG,Validation-Seen,Hard,3,261.4282621811559,0.06976338500015558,1.4908621754710134,16.07030005850798,0.026916334655649993
CMA-VG,Validation-Seen,Hard,4,258.3852693407938,0.30273707580848286,2.4060997499610397,15.846970141031328,0.02046041423489013
